year,business_id,name,risk_category,violationtypeid,description
2016,1843,Ma's Dim Sum & Cafe,High Risk,103109,Unclean or unsanitary food contact surfaces
2013,2421,ST FRANCIS FOUNTAIN,High Risk,103102,Unclean hands or improper use of gloves
2013,2421,ST FRANCIS FOUNTAIN,High Risk,103103,High risk food holding temperature 
2013,2421,ST FRANCIS FOUNTAIN,High Risk,103105,Improper cooling methods
2013,2421,ST FRANCIS FOUNTAIN,High Risk,103109,Unclean or unsanitary food contact surfaces
2014,2421,ST FRANCIS FOUNTAIN,High Risk,103104,Unauthorized or unsafe use of time as a public health control measure
2014,2421,ST FRANCIS FOUNTAIN,High Risk,103105,Improper cooling methods
2015,2421,ST FRANCIS FOUNTAIN,High Risk,103102,Unclean hands or improper use of gloves
2015,2421,ST FRANCIS FOUNTAIN,High Risk,103103,High risk food holding temperature 
2016,2421,ST FRANCIS FOUNTAIN,High Risk,103105,Improper cooling methods
2013,67330,San Tung Restaurant LLC,High Risk,103102,Unclean hands or improper use of gloves
2013,67330,San Tung Restaurant LLC,High Risk,103103,High risk food holding temperature 
2013,67330,San Tung Restaurant LLC,High Risk,103108,Contaminated or adulterated food
2014,67330,San Tung Restaurant LLC,High Risk,103108,Contaminated or adulterated food
2015,67330,San Tung Restaurant LLC,High Risk,103102,Unclean hands or improper use of gloves
2015,67330,San Tung Restaurant LLC,High Risk,103103,High risk food holding temperature 
2016,67330,San Tung Restaurant LLC,High Risk,103102,Unclean hands or improper use of gloves
2016,67330,San Tung Restaurant LLC,High Risk,103103,High risk food holding temperature 
2016,67330,San Tung Restaurant LLC,High Risk,103105,Improper cooling methods
2014,17570,Tres Agaves,High Risk,103103,High risk food holding temperature 
2014,17570,Tres Agaves,High Risk,103105,Improper cooling methods
2015,17570,Tres Agaves,High Risk,103103,High risk food holding temperature 
2015,17570,Tres Agaves,High Risk,103105,Improper cooling methods
2015,17570,Tres Agaves,High Risk,103114,High risk vermin infestation
2016,17570,Tres Agaves,High Risk,103105,Improper cooling methods
2016,17570,Tres Agaves,High Risk,103109,Unclean or unsanitary food contact surfaces
2016,17570,Tres Agaves,High Risk,103109,Unclean or unsanitary food contact surfaces
